#options: 854x480 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:98 out:98 type:P dur:2 cpbdur:2 q:29.03 aq:19.16 tex:3808 mv:3607 misc:1441 imb:124 pmb:295 smb:1201 d:- ref:0 ;
in:99 out:99 type:P dur:2 cpbdur:2 q:29.03 aq:19.10 tex:3039 mv:3038 misc:1259 imb:82 pmb:264 smb:1274 d:- ref:0 ;
in:100 out:100 type:P dur:2 cpbdur:2 q:29.03 aq:19.56 tex:3981 mv:3256 misc:1403 imb:102 pmb:330 smb:1188 d:- ref:0 ;
in:101 out:101 type:P dur:2 cpbdur:2 q:29.03 aq:20.25 tex:8968 mv:5572 misc:1596 imb:302 pmb:358 smb:960 d:- ref:0 ;
in:102 out:102 type:P dur:2 cpbdur:2 q:29.03 aq:21.33 tex:2441 mv:2008 misc:1127 imb:63 pmb:200 smb:1357 d:- ref:0 ;
in:103 out:103 type:P dur:2 cpbdur:2 q:29.03 aq:20.55 tex:11432 mv:8997 misc:1723 imb:541 pmb:435 smb:644 d:- ref:0 ;
in:104 out:104 type:P dur:2 cpbdur:2 q:29.03 aq:20.21 tex:25225 mv:11338 misc:1749 imb:670 pmb:550 smb:400 d:- ref:0 ;
in:105 out:105 type:P dur:2 cpbdur:2 q:29.03 aq:19.44 tex:6940 mv:4694 misc:1486 imb:176 pmb:340 smb:1104 d:- ref:0 ;
in:106 out:106 type:P dur:2 cpbdur:2 q:29.03 aq:18.52 tex:2511 mv:2282 misc:1151 imb:92 pmb:156 smb:1372 d:- ref:0 ;
in:107 out:107 type:P dur:2 cpbdur:2 q:29.03 aq:16.72 tex:5326 mv:5228 misc:1486 imb:303 pmb:234 smb:1083 d:- ref:0 ;
in:108 out:108 type:P dur:2 cpbdur:2 q:29.03 aq:17.14 tex:4753 mv:4424 misc:1439 imb:217 pmb:234 smb:1169 d:- ref:0 ;
in:109 out:109 type:P dur:2 cpbdur:2 q:29.03 aq:17.98 tex:9943 mv:7202 misc:1727 imb:334 pmb:412 smb:874 d:- ref:0 ;
in:110 out:110 type:P dur:2 cpbdur:2 q:29.03 aq:18.88 tex:7769 mv:5342 misc:1545 imb:208 pmb:352 smb:1060 d:- ref:0 ;
in:111 out:111 type:P dur:2 cpbdur:2 q:29.03 aq:19.06 tex:6056 mv:4086 misc:1474 imb:139 pmb:330 smb:1151 d:- ref:0 ;
in:112 out:112 type:P dur:2 cpbdur:2 q:29.03 aq:18.92 tex:8542 mv:5662 misc:1636 imb:209 pmb:424 smb:987 d:- ref:0 ;
in:113 out:113 type:P dur:2 cpbdur:2 q:29.03 aq:18.85 tex:9410 mv:5199 misc:1703 imb:199 pmb:485 smb:936 d:- ref:0 ;
in:114 out:114 type:P dur:2 cpbdur:2 q:29.03 aq:19.18 tex:3316 mv:2242 misc:1266 imb:57 pmb:256 smb:1307 d:- ref:0 ;
in:115 out:115 type:P dur:2 cpbdur:2 q:29.03 aq:20.28 tex:2699 mv:2239 misc:1166 imb:46 pmb:249 smb:1325 d:- ref:0 ;
in:116 out:116 type:P dur:2 cpbdur:2 q:29.03 aq:19.63 tex:3311 mv:2461 misc:1300 imb:72 pmb:263 smb:1285 d:- ref:0 ;
in:117 out:117 type:P dur:2 cpbdur:2 q:29.03 aq:20.40 tex:3828 mv:2638 misc:1326 imb:58 pmb:312 smb:1250 d:- ref:0 ;
in:118 out:118 type:P dur:2 cpbdur:2 q:29.03 aq:21.59 tex:3255 mv:2522 misc:1127 imb:78 pmb:240 smb:1302 d:- ref:0 ;
in:119 out:119 type:P dur:2 cpbdur:2 q:29.03 aq:22.47 tex:1851 mv:2001 misc:996 imb:38 pmb:217 smb:1365 d:- ref:0 ;
in:120 out:120 type:P dur:2 cpbdur:2 q:29.03 aq:20.35 tex:27809 mv:8183 misc:1800 imb:526 pmb:521 smb:573 d:- ref:0 ;
in:121 out:121 type:P dur:2 cpbdur:2 q:29.03 aq:20.16 tex:4431 mv:2254 misc:1243 imb:104 pmb:220 smb:1296 d:- ref:0 ;
in:122 out:122 type:P dur:2 cpbdur:2 q:29.03 aq:20.82 tex:3214 mv:2789 misc:1229 imb:98 pmb:299 smb:1223 d:- ref:0 ;
in:123 out:123 type:P dur:2 cpbdur:2 q:29.03 aq:20.01 tex:2672 mv:2451 misc:1253 imb:73 pmb:273 smb:1274 d:- ref:0 ;
in:124 out:124 type:P dur:2 cpbdur:2 q:29.03 aq:20.99 tex:4082 mv:3414 misc:1416 imb:106 pmb:346 smb:1168 d:- ref:0 ;
in:125 out:125 type:P dur:2 cpbdur:2 q:29.03 aq:20.56 tex:5299 mv:3577 misc:1388 imb:107 pmb:343 smb:1170 d:- ref:0 ;
in:126 out:126 type:P dur:2 cpbdur:2 q:29.03 aq:20.54 tex:4280 mv:2957 misc:1419 imb:104 pmb:303 smb:1213 d:- ref:0 ;
in:127 out:127 type:P dur:2 cpbdur:2 q:29.03 aq:20.40 tex:2683 mv:2646 misc:1215 imb:73 pmb:268 smb:1279 d:- ref:0 ;
in:128 out:128 type:P dur:2 cpbdur:2 q:29.03 aq:19.69 tex:1934 mv:2389 misc:1005 imb:54 pmb:221 smb:1345 d:- ref:0 ;
in:129 out:129 type:P dur:2 cpbdur:2 q:29.03 aq:18.61 tex:3446 mv:4252 misc:1430 imb:133 pmb:328 smb:1159 d:- ref:0 ;
in:130 out:130 type:P dur:2 cpbdur:2 q:29.03 aq:19.26 tex:2970 mv:2707 misc:1219 imb:82 pmb:239 smb:1299 d:- ref:0 ;
in:131 out:131 type:P dur:2 cpbdur:2 q:29.03 aq:19.79 tex:3665 mv:3218 misc:1405 imb:98 pmb:312 smb:1210 d:- ref:0 ;
in:132 out:132 type:P dur:2 cpbdur:2 q:29.03 aq:19.92 tex:4759 mv:3144 misc:1417 imb:91 pmb:334 smb:1195 d:- ref:0 ;
in:133 out:133 type:P dur:2 cpbdur:2 q:29.03 aq:20.30 tex:3194 mv:3045 misc:1345 imb:82 pmb:313 smb:1225 d:- ref:0 ;
in:134 out:134 type:P dur:2 cpbdur:2 q:29.03 aq:19.98 tex:3435 mv:2931 misc:1418 imb:84 pmb:317 smb:1219 d:- ref:0 ;
in:135 out:135 type:P dur:2 cpbdur:2 q:29.03 aq:20.23 tex:4164 mv:2531 misc:1393 imb:54 pmb:313 smb:1253 d:- ref:0 ;
in:136 out:136 type:P dur:2 cpbdur:2 q:29.03 aq:19.84 tex:5764 mv:3973 misc:1503 imb:148 pmb:351 smb:1121 d:- ref:0 ;
in:137 out:137 type:P dur:2 cpbdur:2 q:29.03 aq:19.70 tex:4531 mv:3067 misc:1434 imb:96 pmb:305 smb:1219 d:- ref:0 ;
in:138 out:138 type:P dur:2 cpbdur:2 q:29.03 aq:21.16 tex:2337 mv:2779 misc:1220 imb:64 pmb:275 smb:1281 d:- ref:0 ;
in:139 out:139 type:P dur:2 cpbdur:2 q:29.03 aq:20.31 tex:3485 mv:3768 misc:1443 imb:154 pmb:296 smb:1170 d:- ref:0 ;
in:140 out:140 type:P dur:2 cpbdur:2 q:29.03 aq:19.95 tex:12567 mv:7687 misc:1698 imb:458 pmb:369 smb:793 d:- ref:0 ;
in:141 out:141 type:P dur:2 cpbdur:2 q:29.03 aq:18.67 tex:4439 mv:3707 misc:1470 imb:158 pmb:327 smb:1135 d:- ref:0 ;
in:142 out:142 type:P dur:2 cpbdur:2 q:29.03 aq:18.32 tex:2454 mv:2771 misc:1231 imb:98 pmb:227 smb:1295 d:- ref:0 ;
in:143 out:143 type:P dur:2 cpbdur:2 q:29.03 aq:21.02 tex:3999 mv:4195 misc:1430 imb:152 pmb:301 smb:1167 d:- ref:0 ;
in:144 out:144 type:P dur:2 cpbdur:2 q:29.03 aq:21.29 tex:3096 mv:3075 misc:1293 imb:83 pmb:305 smb:1232 d:- ref:0 ;
in:145 out:145 type:P dur:2 cpbdur:2 q:29.03 aq:20.73 tex:12435 mv:8728 misc:1685 imb:614 pmb:348 smb:658 d:- ref:0 ;
in:146 out:146 type:P dur:2 cpbdur:2 q:29.03 aq:20.23 tex:5049 mv:4509 misc:1538 imb:153 pmb:341 smb:1126 d:- ref:0 ;
in:147 out:147 type:P dur:2 cpbdur:2 q:29.03 aq:20.49 tex:12755 mv:8639 misc:1694 imb:502 pmb:389 smb:729 d:- ref:0 ;
